
Level: hrt_lvl1
Time,Entropy

Level: hrt_lvl1
Time,Entropy
0.39,1.7629
1.39,0.8381
2.39,0.5744
3.39,1.307
4.39,0.9693
5.39,0.7033
6.39,0.2352
7.39,0.2043
8.39,0.2598
9.39,0.6346
10.39,1.4365
11.39,0.1719
12.39,0.9477
13.39,0.7255
14.39,0.2758
15.39,1.9283
16.39,0.0283
17.39,0.1786
18.39,1.6658
19.39,0.8529
20.39,1.7539
21.39,1.1004
22.39,0.3957
23.39,1.8126
24.39,0.0764
25.39,0.6532
26.39,0.8987
27.39,0.8608
28.39,1.4224
29.39,0.4044
30.39,1.4891
31.39,1.5601
32.39,1.0573
33.39,0.2321
34.39,1.846
35.39,0.6257
36.39,1.8428
37.39,1.3731
38.39,1.8352
39.39,0.0816
40.39,0.3725
41.39,1.0507
42.39,0.6758
43.39,0.0854
44.39,0.4939

Level: hrt_lvl2
Time,Entropy

Level: hrt_lvl2
Time,Entropy
0.16,1.7526
1.16,1.3034
2.16,1.4582
3.16,0.742
4.16,0.5226
5.16,1.8583
6.16,1.383
7.16,1.7984
8.16,1.4665
9.16,0.3672
10.16,1.6974
11.16,1.6274
12.16,0.4888
13.16,1.1849
14.16,0.8179
15.16,0.848
16.16,0.789
17.16,1.2096
18.16,1.2427
19.16,0.6562
20.16,1.9653
21.16,0.0793
22.16,0.4931
23.16,1.3848
24.16,1.546
25.16,0.1669
26.16,1.4207
27.16,0.0742
28.16,1.4757
29.16,0.0915
30.16,1.1153
31.16,1.0399
32.16,1.8939
33.16,0.6048
34.16,1.3963
35.16,1.2336
36.16,0.2248
37.16,0.5942
38.16,0.3021
39.16,0.1158
40.16,1.4494
41.16,1.5968
42.16,1.3307
43.16,0.5774
44.16,0.2861

Level: hrt_lvl3
Time,Entropy

Level: hrt_lvl3
Time,Entropy
0.93,1.3503
1.93,0.5378
2.93,1.7098
3.93,0.2277
4.93,1.5441
5.93,0.5506
6.93,0.8614
7.93,1.5616
8.93,0.9833
9.93,1.8096
10.93,0.6318
11.93,0.8427
12.93,1.6534
13.93,0.2521
14.93,0.0646
15.93,0.2854
16.93,0.8285
17.93,1.6653
18.93,1.1845
19.93,0.5053
20.93,1.116
21.93,0.3916
22.93,0.1012
23.93,1.0458
24.93,1.9466
25.93,1.5246
26.93,0.8071
27.93,0.3709
28.93,0.7756
29.93,1.0061
30.93,1.6638
31.93,0.3746
32.93,1.9828
33.93,0.5015
34.93,0.2994
35.93,1.7003
36.93,1.167
37.93,0.008
38.93,1.4555
39.93,0.9056
40.93,0.9856
41.93,0.6219
42.93,1.4426
43.93,0.7906
44.93,1.8563
