Level: reflex_lvl1
Time,Entropy

Level: reflex_lvl1
Time,Entropy
0.11,1.1483
1.11,1.7582
2.11,1.405
3.11,0.1785
4.11,1.4645
5.11,1.838
6.11,0.0357
7.11,0.303
8.11,0.731
9.11,1.1138
10.11,1.6474
11.11,1.8548
12.11,1.9031
13.11,0.18
14.11,1.8822
15.11,0.1098
16.11,0.9966
17.11,0.9859
18.11,0.6978
19.11,1.4769
20.11,1.8535
21.11,1.6282
22.11,1.5986
23.11,1.641
24.11,1.7837
25.11,0.9782
26.11,0.1561
27.11,0.2255
28.11,1.0744
29.11,0.014
30.11,1.9905
31.11,0.6105
32.11,1.5426
33.11,0.979
34.11,1.8635
35.11,0.5695
36.11,0.7675
37.11,0.9465
38.11,1.7579
39.11,0.9494
40.11,0.572
41.11,1.3654
42.11,1.6906
43.11,1.2405
44.11,1.6389
Level: reflex_lvl2
Time,Entropy

Level: reflex_lvl2
Time,Entropy
0.91,1.4732
1.91,1.1387
2.91,0.6119
3.91,0.6201
4.91,0.4569
5.91,1.8647
6.91,0.6452
7.91,0.4668
8.91,0.1466
9.91,0.8432
10.91,0.4653
11.91,0.4671
12.91,1.2252
13.91,1.877
14.91,1.5638
15.91,1.7693
16.91,1.3505
17.91,1.2818
18.91,0.3062
19.91,0.8153
20.91,0.1413
21.91,1.7102
22.91,0.7228
23.91,0.9373
24.91,0.8906
25.91,0.9114
26.91,1.9772
27.91,1.5121
28.91,1.7245
29.91,0.0655
30.91,1.4258
31.91,0.9419
32.91,0.3952
33.91,1.6849
34.91,0.2973
35.91,0.1832
36.91,0.4599
37.91,0.5374
38.91,1.47
39.91,0.0942
40.91,0.3618
41.91,1.4607
42.91,1.057
43.91,0.0843
44.91,0.3226
Level: reflex_lvl3
Time,Entropy

Level: reflex_lvl3
Time,Entropy
0.69,1.2295
1.69,1.5979
2.69,0.5179
3.69,0.2022
4.69,1.7231
5.69,0.4719
6.69,1.159
7.69,1.4986
8.69,0.2822
9.69,1.8632
10.69,0.9258
11.69,1.5936
12.69,1.5625
13.69,1.8233
14.69,1.4077
15.69,0.267
16.69,0.112
17.69,0.304
18.69,1.048
19.69,0.5745
20.69,0.452
21.69,0.3904
22.69,0.638
23.69,1.4
24.69,1.7917
25.69,1.2543
26.69,0.3916
27.69,1.0115
28.69,1.6501
29.69,1.8218
30.69,0.4527
31.69,0.8405
32.69,0.1574
33.69,0.3755
34.69,0.6028
35.69,0.238
36.69,0.0257
37.69,0.153
38.69,0.4768
39.69,1.3307
40.69,1.9551
41.69,1.6714
42.69,1.0891
43.69,1.9395
44.69,1.2724

Level: target_lvl1
Time,Entropy
0.95,0.2412
1.95,0.4452
2.95,1.3388
3.95,0.2958
4.95,1.619
5.95,1.2849
6.95,1.2524
7.95,1.8847
8.95,1.2973
9.95,1.7088
10.95,0.9164
11.95,0.3831
12.95,1.9751
13.95,0.3582
14.95,1.1882
15.95,1.789
16.95,1.1236
17.95,0.2986
18.95,1.6053
19.95,1.9341
20.95,1.5093
21.95,1.3867
22.95,0.1523
23.95,0.1791
24.95,1.5928
25.95,1.7105
26.95,0.9559
27.95,0.5024
28.95,0.0275
29.95,0.0292
30.95,1.2675
31.95,1.1697
32.95,0.2035
33.95,0.2302
34.95,0.7162
35.95,0.581
36.95,1.1847
37.95,0.7391
38.95,0.7881
39.95,1.1843
40.95,0.5358
41.95,1.3207
42.95,0.7823
43.95,0.7572
44.95,0.7448
45.95,0.5575
46.95,0.1556
47.95,0.8107
48.95,1.2246
49.95,1.8154
50.95,0.424
51.95,1.4045
52.95,0.5437
53.95,1.9217
54.95,0.5433
55.95,0.4696
56.95,0.5024
57.95,1.3163
58.95,0.3568
59.95,1.084
60.95,0.3407
61.95,0.306
62.95,0.0847
63.95,0.131
64.95,1.7463
65.95,0.4802
66.95,1.6532
67.95,1.7088
68.95,0.9634
69.95,0.8445
70.95,1.3195
71.95,1.9653
72.95,0.4413
73.95,0.2502
74.95,1.1258
75.95,0.2061
76.95,1.4415
77.95,1.2309
78.95,0.1061
79.95,0.7213
80.95,0.4591
81.95,0.701
82.95,1.4853
83.95,1.9234
84.95,1.8314
85.95,0.4364
86.95,1.026
87.95,1.4944
88.95,1.8113
89.95,1.5582
90.95,1.0698
91.95,0.0337
92.95,0.5876
93.95,1.3225
94.95,1.2262
95.95,0.1636
96.95,1.514
97.95,1.2912
98.95,1.2465
99.95,1.1348
100.95,0.7081
101.95,0.0467
102.95,0.153
103.95,1.2529
104.95,0.1327
105.95,1.8002
106.95,0.7351
107.95,1.0577
108.95,0.1481
109.95,0.0262
110.95,1.1389
111.95,1.89
112.95,1.2964
113.95,0.649
114.95,1.0502
115.95,0.0143
116.95,1.4042
117.95,1.1438
118.95,1.1786
119.95,1.4366
