
Level: target_lvl2
Time,Entropy
0.35,1.565
1.35,0.9394
2.35,1.8914
3.35,1.117
4.35,1.1924
5.35,0.9067
6.35,0.9774
7.35,0.2142
8.35,0.392
9.35,0.0868
10.35,0.8894
11.35,0.7147
12.35,1.1537
13.35,0.742
14.35,0.351
15.35,1.4308
16.35,1.8062
17.35,0.6915
18.35,0.4333
19.35,1.3248
20.35,0.6906
21.35,0.3578
22.35,1.1454
23.35,0.5386
24.35,1.4574
25.35,1.3536
26.35,0.1737
27.35,1.3459
28.35,1.5451
29.35,1.7276
30.35,0.6831
31.35,0.9515
32.35,1.99
33.35,1.0834
34.35,1.4937
35.35,1.3371
36.35,1.8956
37.35,0.1192
38.35,1.9949
39.35,1.4574
40.35,1.4986
41.35,1.7593
42.35,1.5108
43.35,1.8196
44.35,1.5877
45.35,0.6021
46.35,0.1939
47.35,0.9292
48.35,0.9124
49.35,0.8959
50.35,1.2722
51.35,0.6188
52.35,0.6723
53.35,1.368
54.35,0.2529
55.35,0.7092
56.35,0.2129
57.35,0.9635
58.35,1.3213
59.35,0.1478
60.35,1.658
61.35,1.0076
62.35,0.7578
63.35,1.1663
64.35,0.8753
65.35,1.8977
66.35,0.0576
67.35,0.4259
68.35,0.2913
69.35,0.4658
70.35,1.2876
71.35,0.7105
72.35,1.1936
73.35,0.8975
74.35,0.7197
75.35,0.243
76.35,1.6608
77.35,0.899
78.35,0.9833
79.35,0.3174
80.35,1.7719
81.35,0.2575
82.35,1.7038
83.35,0.4458
84.35,1.3545
85.35,1.1308
86.35,1.2688
87.35,0.5634
88.35,1.8371
89.35,1.2326
90.35,1.5153
91.35,0.0376
92.35,0.8944
93.35,0.372
94.35,1.1821
95.35,0.2769
96.35,0.739
97.35,1.4183
98.35,0.6386
99.35,1.9941
100.35,0.5307
101.35,1.6448
102.35,1.858
103.35,1.5665
104.35,0.2122
105.35,1.0642
106.35,0.5076
107.35,0.1436
108.35,0.8063
109.35,0.3386
110.35,1.2768
111.35,1.7288
112.35,0.1343
113.35,0.085
114.35,1.1905
115.35,0.007
116.35,1.1903
117.35,1.9804
118.35,0.4659
119.35,1.1754

Level: target_lvl3
Time,Entropy
0.76,1.6923
1.76,0.7171
2.76,1.6896
3.76,0.7394
4.76,0.1754
5.76,1.4854
6.76,0.4429
7.76,1.3735
8.76,0.2469
9.76,0.2528
10.76,1.5265
11.76,0.6212
12.76,1.1487
13.76,1.1813
14.76,0.924
15.76,0.5481
16.76,0.2274
17.76,0.8395
18.76,1.9319
19.76,1.4165
20.76,1.6993
21.76,0.3863
22.76,0.9042
23.76,1.1576
24.76,0.7807
25.76,1.8133
26.76,1.765
27.76,0.4036
28.76,1.8959
29.77,1.6476
30.76,1.2326
31.76,0.6897
32.76,0.3532
33.76,1.6146
34.77,1.0016
35.76,0.8451
36.76,0.5511
37.76,1.5972
38.77,1.2025
39.76,1.0021
40.77,0.0866
41.77,0.6775
42.76,1.6736
43.76,1.2028
44.76,1.3127
45.76,0.6384
46.76,0.4443
47.76,1.0133
48.76,0.5269
49.76,1.2303
50.76,1.2771
51.77,0.2623
52.76,1.3759
53.76,0.3732
54.76,1.8839
55.76,0.4726
56.76,0.5341
57.76,1.22
58.76,1.7812
59.76,1.2348
60.76,0.5113
61.76,0.1016
62.76,0.8954
63.76,0.2651
64.76,1.4804
65.76,0.4576
66.76,1.3583
67.76,0.4085
68.76,0.34
69.76,0.9459
70.76,1.7815
71.76,1.9693
72.76,1.0811
73.76,0.0955
74.76,0.0365
75.76,0.7513
76.76,0.9658
77.76,1.2665
78.76,0.8191
79.76,1.0195
80.76,0.0657
81.77,0.0429
82.76,1.1741
83.76,1.2318
84.76,1.2287
85.76,0.3982
86.76,0.1396
87.76,1.5184
88.76,1.9769
89.76,1.4493
90.76,1.5294
91.77,1.8953
92.76,0.8158
93.76,1.5845
94.76,1.8921
95.76,0.3044
96.76,0.6676
97.76,0.8548
98.76,0.9208
99.77,0.2467
100.76,1.8061
101.76,1.3709
102.76,1.7794
103.76,0.1765
104.76,1.8934
105.76,0.5527
106.76,0.3856
107.76,0.9014
108.76,1.5167
109.76,0.8409
110.76,0.0261
111.76,0.656
112.76,1.8529
113.76,1.1358
114.76,1.581
115.76,0.0949
116.76,1.2079
117.76,0.8869
118.76,1.8238
119.76,0.209
