Time,Entropy
0.14,1.8101
1.14,1.9457
2.14,0.7467
3.14,0.1975
4.14,0.3997
5.14,0.5591
6.14,1.0931
7.14,1.7038
8.14,1.5872
9.14,1.87
10.14,0.1154
11.14,0.0549
12.14,0.506
13.14,1.8744
14.14,0.3444
15.14,0.968
16.14,1.0646
17.14,1.698
18.14,1.1827
19.14,0.2193
20.14,1.9756
21.14,0.3381
22.14,0.9399
23.14,1.7286
24.14,0.9296
25.14,0.9749
26.14,1.5395
27.14,1.419
28.14,0.6265
29.14,1.1157
30.14,1.8823
31.14,1.1066
32.14,0.2307
33.14,1.9771
34.14,1.3071
35.14,1.0053
36.14,0.1725
37.14,0.6976
38.14,1.7489
39.14,1.8953
40.14,0.4904
41.14,1.4957
42.14,0.8726
43.14,0.5821
44.14,1.0073
45.14,1.7705
46.14,1.0263
47.14,1.1932
48.14,0.7822
49.14,0.713
50.14,1.4681
51.14,1.5093
52.14,0.8173
53.14,0.2493
54.14,1.3671
55.14,0.4357
56.14,1.3369
57.14,1.3185
58.14,0.7344
59.14,0.7956
60.14,1.9981
