x,y
20,60
20,100
20,140
20,180
60,180
100,180
100,220
100,260
100,300
100,340
140,340
180,340
220,340
260,340
300,340
340,340
340,300
340,260
380,260
420,260
460,260
500,260
540,260
580,260
620,260
660,260
700,260
740,260
740,300
740,340
700,340
660,340
620,340
580,340
540,340
500,340
500,380
500,420
460,420
420,420
380,420
340,420
300,420
260,420
220,420
180,420
180,460
180,500
180,540
180,580
220,580
260,580
300,580
340,580
340,540
340,500
380,500
420,500
420,540
420,580
460,580
500,580
500,540
500,500
540,500
580,500
580,540
580,580
620,580
660,580
700,580
740,580
