Segment Start,Segment End,Time,x,y
15:33:13,15:33:31,0.41,60,20
15:33:13,15:33:31,0.48,100,20
15:33:13,15:33:31,0.54,140,20
15:33:13,15:33:31,0.61,180,20
15:33:13,15:33:31,0.68,220,20
15:33:13,15:33:31,0.74,260,20
15:33:13,15:33:31,1.14,260,60
15:33:13,15:33:31,1.21,260,100
15:33:13,15:33:31,1.27,260,140
15:33:13,15:33:31,1.34,260,180
15:33:13,15:33:31,1.41,260,220
15:33:13,15:33:31,1.47,260,260
15:33:13,15:33:31,7.43,300,260
15:33:13,15:33:31,7.5,340,260
15:33:13,15:33:31,7.56,380,260
15:33:13,15:33:31,7.63,420,260
15:33:13,15:33:31,7.69,460,260
15:33:13,15:33:31,7.76,500,260
15:33:13,15:33:31,8.22,500,220
15:33:13,15:33:31,8.29,540,180
15:33:13,15:33:31,8.75,580,180
15:33:13,15:33:31,9.08,580,220
15:33:13,15:33:31,9.15,620,260
15:33:13,15:33:31,9.35,660,260
15:33:13,15:33:31,9.41,700,260
15:33:13,15:33:31,9.48,740,260
15:33:13,15:33:31,9.81,740,300
15:33:13,15:33:31,9.88,740,340
15:33:13,15:33:31,9.94,740,380
15:33:13,15:33:31,10.01,740,420
15:33:13,15:33:31,10.07,740,460
15:33:13,15:33:31,10.14,740,500
15:33:13,15:33:31,10.21,740,540
15:33:13,15:33:31,10.27,740,580
15:33:13,15:33:31,10.67,700,580
15:33:13,15:33:31,11.27,660,580
15:33:13,15:33:31,11.33,620,580
15:33:13,15:33:31,11.4,580,580
15:33:13,15:33:31,11.8,580,540
15:33:13,15:33:31,11.86,580,500
15:33:13,15:33:31,12.19,540,500
15:33:13,15:33:31,12.26,500,500
15:33:13,15:33:31,12.32,460,500
15:33:13,15:33:31,12.39,420,500
15:33:13,15:33:31,12.79,420,540
15:33:13,15:33:31,12.85,420,580
15:33:13,15:33:31,13.12,380,580
15:33:13,15:33:31,13.18,340,580
15:33:13,15:33:31,13.25,300,580
15:33:13,15:33:31,13.32,260,580
15:33:13,15:33:31,13.65,260,540
15:33:13,15:33:31,13.71,260,500
15:33:13,15:33:31,14.04,300,500
15:33:13,15:33:31,14.11,340,500
15:33:13,15:33:31,14.71,340,460
15:33:13,15:33:31,14.97,340,420
15:33:13,15:33:31,15.43,300,420
15:33:13,15:33:31,15.5,260,420
15:33:13,15:33:31,15.56,220,420
15:33:13,15:33:31,15.63,180,420
15:33:13,15:33:31,15.89,180,380
15:33:13,15:33:31,15.96,180,340
15:33:13,15:33:31,16.03,180,300
15:33:13,15:33:31,16.82,180,340
15:33:13,15:33:31,17.22,220,340
15:33:13,15:33:31,17.28,260,340
15:33:13,15:33:31,17.35,300,340
15:33:13,15:33:31,17.41,340,340
15:33:13,15:33:31,17.48,380,340
15:33:13,15:33:31,17.55,420,340
15:33:13,15:33:31,17.61,460,340
15:33:13,15:33:31,17.68,500,340
15:33:13,15:33:31,18.08,500,380
15:33:13,15:33:31,18.14,500,420
15:33:13,15:33:31,18.41,460,420
15:33:31,15:33:33,0.07,420,420
15:33:31,15:33:33,0.46,460,420
15:33:31,15:33:33,0.53,500,420
15:33:31,15:33:33,0.6,540,420
15:33:31,15:33:33,0.66,580,420
15:33:31,15:33:33,0.99,580,380
15:33:31,15:33:33,1.06,580,340
15:33:31,15:33:33,1.32,620,340
15:33:31,15:33:33,1.39,660,340
15:33:31,15:33:33,2.05,660,380
15:33:31,15:33:33,2.12,660,420
15:33:33,15:33:35,0.06,660,460
15:33:33,15:33:35,0.46,660,420
15:33:33,15:33:35,0.53,660,380
15:33:33,15:33:35,0.6,660,340
15:33:33,15:33:35,0.93,620,340
15:33:33,15:33:35,0.99,580,340
15:33:33,15:33:35,1.26,580,380
15:33:33,15:33:35,1.32,580,420
15:33:33,15:33:35,1.59,540,420
15:33:33,15:33:35,1.65,500,420
15:33:35,15:33:39,0.07,460,420
15:33:35,15:33:39,0.46,500,420
15:33:35,15:33:39,0.53,540,420
15:33:35,15:33:39,0.99,500,420
15:33:35,15:33:39,1.39,500,380
15:33:35,15:33:39,1.46,500,340
15:33:35,15:33:39,1.72,460,340
15:33:35,15:33:39,1.79,420,340
15:33:35,15:33:39,1.85,380,340
15:33:35,15:33:39,1.92,340,340
15:33:35,15:33:39,1.99,300,340
15:33:35,15:33:39,2.05,260,340
15:33:35,15:33:39,2.12,220,340
15:33:35,15:33:39,2.18,180,340
15:33:35,15:33:39,2.58,180,380
15:33:35,15:33:39,2.65,180,420
15:33:35,15:33:39,2.85,220,420
15:33:35,15:33:39,2.91,260,420
15:33:35,15:33:39,2.98,300,420
15:33:35,15:33:39,3.04,340,420
15:33:35,15:33:39,3.44,340,460
15:33:35,15:33:39,3.51,340,500
15:33:35,15:33:39,3.77,300,500
15:33:35,15:33:39,3.84,260,500
15:33:35,15:33:39,4.1,260,540
15:33:39,15:33:51,0.07,260,580
15:33:39,15:33:51,0.73,260,540
15:33:39,15:33:51,0.79,260,500
15:33:39,15:33:51,2.58,260,540
15:33:39,15:33:51,2.65,260,580
15:33:39,15:33:51,3.24,300,580
15:33:39,15:33:51,3.31,340,580
15:33:39,15:33:51,3.38,380,580
15:33:39,15:33:51,3.44,420,580
15:33:39,15:33:51,3.51,460,580
15:33:39,15:33:51,3.57,500,580
15:33:39,15:33:51,4.04,460,580
15:33:39,15:33:51,4.1,420,580
15:33:39,15:33:51,4.5,420,540
15:33:39,15:33:51,4.57,420,500
15:33:39,15:33:51,4.83,460,500
15:33:39,15:33:51,4.9,500,500
15:33:39,15:33:51,4.96,540,500
15:33:39,15:33:51,5.03,580,500
15:33:39,15:33:51,5.56,580,540
15:33:39,15:33:51,6.22,580,580
15:33:39,15:33:51,6.55,620,580
15:33:39,15:33:51,6.62,660,580
15:33:39,15:33:51,6.68,700,580
15:33:39,15:33:51,6.75,740,580
15:33:39,15:33:51,7.21,740,540
15:33:39,15:33:51,7.81,740,500
15:33:39,15:33:51,8.14,740,460
15:33:39,15:33:51,8.21,740,420
15:33:39,15:33:51,8.27,740,380
15:33:39,15:33:51,8.34,740,340
15:33:39,15:33:51,8.4,740,300
15:33:39,15:33:51,8.47,740,260
15:33:39,15:33:51,8.54,740,220
15:33:39,15:33:51,8.6,740,180
15:33:39,15:33:51,8.67,740,140
15:33:39,15:33:51,8.73,740,100
15:33:39,15:33:51,9.07,700,100
15:33:39,15:33:51,9.13,660,100
15:33:39,15:33:51,9.46,660,60
15:33:39,15:33:51,9.53,660,20
15:33:39,15:33:51,9.79,620,20
15:33:39,15:33:51,9.86,580,20
15:33:39,15:33:51,9.93,540,20
15:33:39,15:33:51,9.99,500,20
15:33:39,15:33:51,10.52,500,60
15:33:39,15:33:51,10.59,500,100
15:33:39,15:33:51,10.79,460,100
15:33:39,15:33:51,10.85,420,100
15:33:39,15:33:51,11.18,420,60
15:33:39,15:33:51,11.25,420,20
15:33:39,15:33:51,11.51,380,20
15:33:39,15:33:51,11.58,340,20
15:33:39,15:33:51,11.84,340,60
15:33:39,15:33:51,11.91,340,100
15:33:51,15:34:12,0.53,340,60
15:33:51,15:34:12,0.6,340,20
15:33:51,15:34:12,0.93,380,20
15:33:51,15:34:12,0.99,420,20
15:33:51,15:34:12,1.26,420,60
15:33:51,15:34:12,1.32,420,100
15:33:51,15:34:12,1.65,460,100
15:33:51,15:34:12,1.72,500,100
15:33:51,15:34:12,2.18,500,60
15:33:51,15:34:12,2.25,500,20
15:33:51,15:34:12,2.71,540,20
15:33:51,15:34:12,2.78,580,20
15:33:51,15:34:12,2.84,620,20
15:33:51,15:34:12,3.24,660,20
15:33:51,15:34:12,3.31,700,20
15:33:51,15:34:12,3.9,660,20
15:33:51,15:34:12,3.97,620,20
15:33:51,15:34:12,4.43,660,20
15:33:51,15:34:12,4.5,700,20
15:33:51,15:34:12,4.89,660,20
15:33:51,15:34:12,4.96,620,20
15:33:51,15:34:12,5.42,660,20
15:33:51,15:34:12,5.49,700,20
15:33:51,15:34:12,5.55,740,20
15:33:51,15:34:12,6.15,700,20
15:33:51,15:34:12,6.21,660,20
15:33:51,15:34:12,6.62,660,60
15:33:51,15:34:12,6.68,660,100
15:33:51,15:34:12,6.75,660,140
15:33:51,15:34:12,7.28,660,100
15:33:51,15:34:12,7.34,660,60
15:33:51,15:34:12,8.27,700,100
15:33:51,15:34:12,8.8,740,100
15:33:51,15:34:12,9.65,740,140
15:33:51,15:34:12,10.12,740,180
15:33:51,15:34:12,10.18,740,220
15:33:51,15:34:12,10.25,740,260
15:33:51,15:34:12,10.32,740,300
15:33:51,15:34:12,10.38,740,340
15:33:51,15:34:12,10.45,740,380
15:33:51,15:34:12,10.52,740,420
15:33:51,15:34:12,10.58,740,460
15:33:51,15:34:12,10.65,740,500
15:33:51,15:34:12,10.71,740,540
15:33:51,15:34:12,10.78,740,580
15:33:51,15:34:12,11.18,700,580
15:33:51,15:34:12,11.24,660,580
15:33:51,15:34:12,11.31,620,580
15:33:51,15:34:12,11.38,580,580
15:33:51,15:34:12,11.77,580,540
15:33:51,15:34:12,11.84,580,500
15:33:51,15:34:12,12.24,540,500
15:33:51,15:34:12,12.31,500,500
15:33:51,15:34:12,12.37,460,500
15:33:51,15:34:12,12.44,420,500
15:33:51,15:34:12,12.77,420,540
15:33:51,15:34:12,12.84,420,580
15:33:51,15:34:12,13.23,380,580
15:33:51,15:34:12,13.3,340,580
15:33:51,15:34:12,13.37,300,580
15:33:51,15:34:12,13.43,260,580
15:33:51,15:34:12,13.63,260,540
15:33:51,15:34:12,13.7,260,500
15:33:51,15:34:12,14.56,300,500
15:33:51,15:34:12,14.62,340,500
15:33:51,15:34:12,15.02,340,460
15:33:51,15:34:12,15.09,340,420
15:33:51,15:34:12,15.48,300,420
15:33:51,15:34:12,15.55,260,420
15:33:51,15:34:12,15.62,220,420
15:33:51,15:34:12,15.68,180,420
15:33:51,15:34:12,16.01,180,380
15:33:51,15:34:12,16.08,180,340
15:33:51,15:34:12,16.15,180,300
15:33:51,15:34:12,16.21,180,260
15:33:51,15:34:12,16.28,180,220
15:33:51,15:34:12,16.34,180,180
15:33:51,15:34:12,16.41,180,140
15:33:51,15:34:12,16.48,180,100
15:33:51,15:34:12,18.13,140,100
15:33:51,15:34:12,18.2,100,100
15:33:51,15:34:12,18.27,60,100
15:33:51,15:34:12,18.33,20,100
15:33:51,15:34:12,18.73,20,140
15:33:51,15:34:12,18.8,20,180
15:33:51,15:34:12,18.86,20,220
15:33:51,15:34:12,18.93,20,260
15:33:51,15:34:12,19.26,60,260
15:33:51,15:34:12,19.32,100,260
15:33:51,15:34:12,19.59,100,300
15:33:51,15:34:12,19.65,100,340
15:33:51,15:34:12,19.72,100,380
15:33:51,15:34:12,19.79,100,420
15:33:51,15:34:12,19.85,100,460
15:33:51,15:34:12,19.92,100,500
15:33:51,15:34:12,20.18,140,500
15:33:51,15:34:12,20.25,180,500
15:33:51,15:34:12,20.58,180,540
15:33:51,15:34:12,20.65,180,580
15:33:51,15:34:12,21.04,140,580
15:34:12,15:34:17,0.07,100,580
15:34:12,15:34:17,0.33,140,580
15:34:12,15:34:17,0.4,180,580
15:34:12,15:34:17,0.86,180,540
15:34:12,15:34:17,0.93,180,500
15:34:12,15:34:17,1.26,140,500
15:34:12,15:34:17,1.32,100,500
15:34:12,15:34:17,1.65,100,460
15:34:12,15:34:17,1.72,100,420
15:34:12,15:34:17,1.78,100,380
15:34:12,15:34:17,1.85,100,340
15:34:12,15:34:17,1.92,100,300
15:34:12,15:34:17,1.99,100,260
15:34:12,15:34:17,2.12,60,260
15:34:12,15:34:17,2.58,20,260
15:34:12,15:34:17,2.85,20,220
15:34:12,15:34:17,2.91,20,180
15:34:12,15:34:17,2.98,20,140
15:34:12,15:34:17,3.04,20,100
15:34:12,15:34:17,5.03,60,100
15:34:12,15:34:17,5.09,100,100
15:34:12,15:34:17,5.16,140,100
15:34:12,15:34:17,5.22,180,100
15:34:17,15:34:48,0.93,180,140
15:34:17,15:34:48,0.99,180,180
15:34:17,15:34:48,1.06,180,220
15:34:17,15:34:48,1.12,180,260
15:34:17,15:34:48,1.39,180,300
15:34:17,15:34:48,1.46,180,340
15:34:17,15:34:48,1.52,180,380
15:34:17,15:34:48,1.59,180,420
15:34:17,15:34:48,8.6,180,380
15:34:17,15:34:48,8.67,180,340
15:34:17,15:34:48,8.73,180,300
15:34:17,15:34:48,9.33,180,340
15:34:17,15:34:48,9.4,180,380
15:34:17,15:34:48,9.46,180,420
15:34:17,15:34:48,9.86,180,380
15:34:17,15:34:48,9.92,180,340
15:34:17,15:34:48,9.99,180,300
15:34:17,15:34:48,10.65,180,260
15:34:17,15:34:48,10.72,180,220
15:34:17,15:34:48,11.11,180,260
15:34:17,15:34:48,11.18,180,300
15:34:17,15:34:48,11.64,180,340
15:34:17,15:34:48,11.71,180,380
15:34:17,15:34:48,11.77,180,420
15:34:17,15:34:48,12.24,180,380
15:34:17,15:34:48,12.31,180,340
15:34:17,15:34:48,12.37,180,300
15:34:17,15:34:48,13.23,220,340
15:34:17,15:34:48,13.36,260,340
15:34:17,15:34:48,13.43,300,340
15:34:17,15:34:48,13.76,340,340
15:34:17,15:34:48,13.83,380,340
15:34:17,15:34:48,13.89,420,340
15:34:17,15:34:48,13.96,460,340
15:34:17,15:34:48,14.02,500,340
15:34:17,15:34:48,14.49,500,380
15:34:17,15:34:48,14.55,540,420
15:34:17,15:34:48,14.75,580,420
