=== Segment 1 Start: 17:06:31 | End: 17:06:49 ===
Time (s),x,y
0.35,60,20
0.41,100,20
0.48,140,20
0.55,180,20
1.08,180,60
1.14,180,100
1.54,140,100
1.61,100,100
1.94,100,140
2.0,100,180
2.27,60,180
2.34,20,180
2.67,20,220
2.73,20,260
3.0,60,260
3.07,100,260
3.13,140,260
3.2,180,260
3.6,180,300
3.66,180,340
3.73,180,380
3.8,180,420
4.06,140,420
4.13,100,420
4.39,100,380
4.46,100,340
4.79,60,340
4.85,20,340
5.18,20,380
5.25,20,420
5.31,20,460
5.98,20,500
6.31,60,500
6.37,100,500
6.7,100,540
6.77,100,580
7.03,140,580
7.1,180,580
7.17,220,580
7.23,260,580
7.76,260,540
7.83,260,500
7.89,260,460
7.96,260,420
8.02,260,380
8.09,260,340
8.62,300,340
8.69,340,340
8.95,380,340
9.02,420,340
9.94,420,380
10.01,420,420
10.41,380,420
10.47,340,420
10.8,340,460
10.87,340,500
11.2,380,500
11.27,420,500
11.59,420,540
11.66,420,580
12.0,460,580
12.06,500,580
12.39,500,540
12.46,500,500
12.79,540,500
12.85,580,500
12.92,620,500
12.99,660,500
13.05,700,500
13.12,740,500
13.58,740,460
13.64,740,420
13.98,700,420
14.04,660,420
14.11,620,420
14.17,580,420
14.24,540,420
14.31,500,420
14.7,500,380
14.77,500,340
14.83,500,300
14.9,500,260
15.43,540,260
15.5,580,260
16.09,580,300
16.16,580,340
16.49,620,340
16.55,660,340
16.62,700,340
16.69,740,340
17.09,740,300
17.15,740,260
17.22,740,220
17.28,740,180
17.35,740,140
17.42,740,100
17.48,740,60
17.55,740,20

=== Segment 2 Start: 17:06:49 | End: 17:07:42 ===
Time (s),x,y
0.79,740,60
0.86,740,100
0.93,740,140
0.99,740,180
1.06,740,220
1.13,740,260
1.19,740,300
1.26,740,340
1.72,700,340
1.79,660,340
1.85,620,340
1.92,580,340
2.58,580,300
2.65,580,260
2.91,540,260
2.98,500,260
3.31,500,300
3.37,500,340
3.44,500,380
3.51,500,420
3.71,540,420
3.77,580,420
3.84,620,420
3.91,660,420
3.97,700,420
4.04,740,420
4.43,740,460
4.5,740,500
4.57,740,540
4.63,740,580
5.1,740,540
5.16,740,500
5.23,740,460
5.76,740,500
5.83,740,540
5.89,740,580
6.36,740,540
6.82,740,500
6.89,740,460
8.15,740,500
8.48,700,500
8.54,660,500
8.61,620,500
8.67,580,500
8.74,540,500
8.81,500,500
9.27,500,540
9.33,500,580
11.12,460,580
11.19,420,580
11.25,380,580
11.32,340,580
11.71,380,580
11.78,420,580
11.85,460,580
12.24,420,580
12.31,380,580
12.64,420,540
12.91,420,500
13.24,380,500
13.3,340,500
13.63,340,460
13.7,340,420
14.09,380,420
14.16,420,420
14.43,420,380
14.49,420,340
14.89,380,340
14.96,340,340
15.02,300,340
15.09,260,340
15.48,260,380
15.55,260,420
15.62,260,460
15.68,260,500
15.75,260,540
15.81,260,580
16.48,220,580
16.54,180,580
17.34,140,580
17.4,100,580
17.47,60,580
17.54,20,580
19.26,60,580
19.46,100,580
19.52,140,580
19.85,100,580
19.92,60,580
20.25,100,540
20.58,100,500
20.97,60,500
21.04,20,500
21.3,20,460
21.37,20,420
21.44,20,380
21.5,20,340
21.77,60,340
21.83,100,340
22.56,100,380
22.62,100,420
22.96,140,420
23.02,180,420
23.29,180,380
23.35,180,340
23.42,180,300
23.48,180,260
23.82,140,260
23.88,100,260
23.95,60,260
24.01,20,260
24.28,20,220
24.34,20,180
24.48,60,180
24.54,100,180
25.07,100,140
25.14,100,100
26.59,100,140
26.66,100,180
29.37,60,180
29.44,20,180
29.77,20,220
29.83,20,260
30.03,60,260
30.1,100,260
30.16,140,260
30.36,180,260
30.76,180,300
30.82,180,340
30.89,180,380
30.95,180,420
31.15,140,420
31.22,100,420
31.42,100,380
31.48,100,340
31.75,60,340
31.82,20,340
32.68,20,380
32.74,20,420
33.6,20,460
33.66,20,500
33.93,60,500
34.0,100,500
34.26,100,540
34.33,100,580
34.66,140,580
34.72,180,580
34.79,220,580
34.86,260,580
35.19,260,540
35.25,260,500
35.32,260,460
35.39,260,420
35.45,260,380
35.52,260,340
35.85,300,340
35.92,340,340
35.98,380,340
36.05,420,340
36.44,420,380
36.51,420,420
36.97,380,420
37.04,340,420
37.37,340,460
37.44,340,500
37.77,380,500
37.83,420,500
38.1,420,540
38.16,420,580
38.43,460,580
38.49,500,580
38.83,500,540
38.89,500,500
39.16,540,500
39.22,580,500
39.29,620,500
39.35,660,500
